tree        days        size        treat
O2T12        152        127.74        ozone-enriched
O2T12        174        212.72        ozone-enriched
O2T12        201        249.64        ozone-enriched
O2T12        227        387.61        ozone-enriched
O2T12        258        459.44        ozone-enriched
O2T12        469        502.7        ozone-enriched
O2T12        496        512.86        ozone-enriched
O2T12        528        607.89        ozone-enriched
O2T12        556        720.54        ozone-enriched
O2T12        579        880.07        ozone-enriched
O2T12        613        925.19        ozone-enriched
O2T12        639        915.99        ozone-enriched
O2T12        674        897.85        ozone-enriched
O2T13        152        60.95        ozone-enriched
O2T13        174        101.49        ozone-enriched
O2T13        201        141.17        ozone-enriched
O2T13        227        196.37        ozone-enriched
O2T13        258        228.15        ozone-enriched
O2T13        469        330.3        ozone-enriched
O2T13        496        330.3        ozone-enriched
O2T13        528        354.25        ozone-enriched
O2T13        556        492.75        ozone-enriched
O2T13        579        626.41        ozone-enriched
O2T13        613        626.41        ozone-enriched
O2T13        639        601.85        ozone-enriched
O2T13        674        626.41        ozone-enriched
O2T14        152        141.17        ozone-enriched
O2T14        174        219.2        ozone-enriched
O2T14        201        336.97        ozone-enriched
O2T14        227        614        ozone-enriched
O2T14        258        651.97        ozone-enriched
O2T14        469        742.48        ozone-enriched
O2T14        496        742.48        ozone-enriched
O2T14        528        780.55        ozone-enriched
O2T14        556        837.15        ozone-enriched
O2T14        579        925.19        ozone-enriched
O2T14        613        992.27        ozone-enriched
O2T14        639        925.19        ozone-enriched
O2T14        674        757.48        ozone-enriched
O2T15        152        78.26        ozone-enriched
O2T15        174        104.58        ozone-enriched
O2T15        201        154.47        ozone-enriched
O2T15        227        217.02        ozone-enriched
O2T15        258        237.46        ozone-enriched
O2T15        469        239.85        ozone-enriched
O2T15        496        239.85        ozone-enriched
O2T15        528        237.46        ozone-enriched
O2T15        556        343.78        ozone-enriched
O2T15        579        391.51        ozone-enriched
O2T15        613        376.15        ozone-enriched
O2T15        639        383.75        ozone-enriched
O2T15        674        407.48        ozone-enriched
O2T16        152        57.4        ozone-enriched
O2T16        174        104.58        ozone-enriched
O2T16        201        162.39        ozone-enriched
O2T16        227        230.44        ozone-enriched
O2T16        258        270.43        ozone-enriched
O2T16        469        327.01        ozone-enriched
O2T16        496        330.3        ozone-enriched
O2T16        528        432.68        ozone-enriched
O2T16        556        464.05        ozone-enriched
O2T16        579        544.57        ozone-enriched
O2T16        613        555.57        ozone-enriched
O2T16        639        566.8        ozone-enriched
O2T16        674        614        ozone-enriched
O2T17        152        42.95        ozone-enriched
O2T17        174        71.52        ozone-enriched
O2T17        201        98.49        ozone-enriched
O2T17        227        164.02        ozone-enriched
O2T17        258        190.57        ozone-enriched
O2T17        469        223.63        ozone-enriched
O2T17        496        230.44        ozone-enriched
O2T17        528        239.85        ozone-enriched
O2T17        556        376.15        ozone-enriched
O2T17        579        391.51        ozone-enriched
O2T17        613        437.03        ozone-enriched
O2T17        639        539.15        ozone-enriched
O2T17        674        512.86        ozone-enriched
O2T18        152        17.12        ozone-enriched
O2T18        174        25.79        ozone-enriched
O2T18        201        40.04        ozone-enriched
O2T18        227        64.07        ozone-enriched
O2T18        258        67.36        ozone-enriched
O2T18        469        73.7        ozone-enriched
O2T18        496        73.7        ozone-enriched
O2T18        528        85.63        ozone-enriched
O2T18        556        98.49        ozone-enriched
O2T18        579        114.43        ozone-enriched
O2T18        613        126.47        ozone-enriched
O2T18        639        103.54        ozone-enriched
O2T18        674        103.54        ozone-enriched
O2T19        152        75.94        ozone-enriched
O2T19        174        121.51        ozone-enriched
O2T19        201        162.39        ozone-enriched
O2T19        227        225.88        ozone-enriched
O2T19        258        273.14        ozone-enriched
O2T19        469        347.23        ozone-enriched
O2T19        496        357.81        ozone-enriched
O2T19        528        407.48        ozone-enriched
O2T19        556        502.7        ozone-enriched
O2T19        579        632.7        ozone-enriched
O2T19        613        699.24        ozone-enriched
O2T19        639        699.24        ozone-enriched
O2T19        674        699.24        ozone-enriched
O2T20        152        54.05        ozone-enriched
O2T20        174        94.63        ozone-enriched
O2T20        201        135.64        ozone-enriched
O2T20        227        192.48        ozone-enriched
O2T20        258        200.34        ozone-enriched
O2T20        469        295.89        ozone-enriched
O2T20        496        295.89        ozone-enriched
O2T20        528        365.04        ozone-enriched
O2T20        556        361.41        ozone-enriched
O2T20        579        395.44        ozone-enriched
O2T20        613        424.11        ozone-enriched
O2T20        639        518.01        ozone-enriched
O2T20        674        518.01        ozone-enriched
O2T21        152        33.12        ozone-enriched
O2T21        174        42.52        ozone-enriched
O2T21        201        52.98        ozone-enriched
O2T21        227        111.05        ozone-enriched
O2T21        258        127.74        ozone-enriched
O2T21        469        149.9        ozone-enriched
O2T21        496        151.41        ozone-enriched
O2T21        528        194.42        ozone-enriched
O2T21        556        232.76        ozone-enriched
O2T21        579        267.74        ozone-enriched
O2T21        613        290.03        ozone-enriched
O2T21        639        340.36        ozone-enriched
O2T21        674        350.72        ozone-enriched
O2T22        152        27.39        ozone-enriched
O2T22        174        31.5        ozone-enriched
O2T22        201        64.07        ozone-enriched
O2T22        227        88.23        ozone-enriched
O2T22        258        93.69        ozone-enriched
O2T22        469        112.17        ozone-enriched
O2T22        496        114.43        ozone-enriched
O2T22        528        138.38        ozone-enriched
O2T22        556        159.17        ozone-enriched
O2T22        579        192.48        ozone-enriched
O2T22        613        192.48        ozone-enriched
O2T22        639        210.61        ozone-enriched
O2T22        674        210.61        ozone-enriched
O2T23        152        20.7        ozone-enriched
O2T23        174        34.81        ozone-enriched
O2T23        201        52.98        ozone-enriched
O2T23        227        81.45        ozone-enriched
O2T23        258        97.51        ozone-enriched
O2T23        469        87.36        ozone-enriched
O2T23        496        87.36        ozone-enriched
O2T23        528        105.64        ozone-enriched
O2T23        556        121.51        ozone-enriched
O2T23        579        164.02        ozone-enriched
O2T23        613        160.77        ozone-enriched
O2T23        639        167.34        ozone-enriched
O2T23        674        167.34        ozone-enriched
O2T24        152        26.31        ozone-enriched
O2T24        174        46.06        ozone-enriched
O2T24        201        84.77        ozone-enriched
O2T24        227        121.51        ozone-enriched
O2T24        258        132.95        ozone-enriched
O2T24        469        160.77        ozone-enriched
O2T24        496        162.39        ozone-enriched
O2T24        528        208.51        ozone-enriched
O2T24        556        278.66        ozone-enriched
O2T24        579        333.62        ozone-enriched
O2T24        613        376.15        ozone-enriched
O2T24        639        379.93        ozone-enriched
O2T24        674        379.93        ozone-enriched
O2T25        152        35.16        ozone-enriched
O2T25        174        65.37        ozone-enriched
O2T25        201        109.95        ozone-enriched
O2T25        227        194.42        ozone-enriched
O2T25        258        196.37        ozone-enriched
O2T25        469        244.69        ozone-enriched
O2T25        496        244.69        ozone-enriched
O2T25        528        320.54        ozone-enriched
O2T25        556        395.44        ozone-enriched
O2T25        579        424.11        ozone-enriched
O2T25        613        487.85        ozone-enriched
O2T25        639        464.05        ozone-enriched
O2T25        674        464.05        ozone-enriched
O2T26        152        29.67        ozone-enriched
O2T26        174        41.68        ozone-enriched
O2T26        201        50.4        ozone-enriched
O2T26        227        60.95        ozone-enriched
O2T26        258        63.43        ozone-enriched
O2T26        469        89.12        ozone-enriched
O2T26        496        91.84        ozone-enriched
O2T26        528        123.97        ozone-enriched
O2T26        556        177.68        ozone-enriched
O2T26        579        192.48        ozone-enriched
O2T26        613        204.38        ozone-enriched
O2T26        639        196.37        ozone-enriched
O2T26        674        196.37        ozone-enriched
O2T27        152        41.26        ozone-enriched
O2T27        174        64.07        ozone-enriched
O2T27        201        94.63        ozone-enriched
O2T27        227        152.93        ozone-enriched
O2T27        258        151.41        ozone-enriched
O2T27        469        174.16        ozone-enriched
O2T27        496        174.16        ozone-enriched
O2T27        528        196.37        ozone-enriched
O2T27        556        249.64        ozone-enriched
O2T27        579        298.87        ozone-enriched
O2T27        613        298.87        ozone-enriched
O2T27        639        290.03        ozone-enriched
O2T27        674        290.03        ozone-enriched
